# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 13038
#
# Samples: 1M of event 'cycles:ppp'
# Event count (approx.): 1673722509155
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
     0.01%  lto1-ltrans  lto1                    [.] hash_table<hash_map<gimple_statement_base*, int, default_hashmap_traits>::hash_entry, xcallocator, true>::find_with_hash                                   
     0.01%  lto1-ltrans  lto1                    [.] add_dependence_list                                                                                                                                        
     0.01%  lto1-ltrans  lto1                    [.] df_chain_remove_problem                                                                                                                                    
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] page_add_new_anon_rmap                                                                                                                                     
     0.01%  lto1-ltrans  lto1                    [.] process_defs                                                                                                                                               
     0.01%  lto1-ltrans  lto1                    [.] df_free_ref                                                                                                                                                
     0.01%  lto1-ltrans  lto1                    [.] sparseset_clear_bit                                                                                                                                        
     0.01%  lto1-ltrans  lto1                    [.] mark_pseudo_live                                                                                                                                           
     0.01%  lto1-ltrans  lto1                    [.] inchash::add_expr                                                                                                                                          
     0.01%  lto1-ltrans  lto1                    [.] cselib_hash_rtx                                                                                                                                            
     0.01%  lto1-wpa     lto1                    [.] streamer_read_tree_bitfields                                                                                                                               
     0.01%  lto1-wpa     lto1                    [.] symbol_table::remove_unreachable_nodes                                                                                                                     
     0.01%  lto1-ltrans  lto1                    [.] prescan_insns_for_dce                                                                                                                                      
     0.01%  lto1-wpa     lto1                    [.] inflate                                                                                                                                                    
     0.01%  lto1-ltrans  lto1                    [.] ssa_propagate                                                                                                                                              
     0.01%  as           as                      [.] relax_segment                                                                                                                                              
     0.01%  lto1-ltrans  lto1                    [.] visit_use                                                                                                                                                  
     0.01%  lto1-ltrans  lto1                    [.] assign_hard_reg                                                                                                                                            
     0.01%  lto1-wpa     lto1                    [.] hash_table<hash_map<int, inline_summary*, function_summary<inline_summary*>::summary_hashmap_traits>::hash_entry, xcallocator, true>::find_slot_with_hash  
     0.01%  lto1-ltrans  lto1                    [.] trunc_int_for_mode                                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] df_simulate_one_insn_forwards                                                                                                                              
     0.01%  lto1-ltrans  lto1                    [.] gsi_start_phis                                                                                                                                             
     0.01%  lto1-wpa     lto1                    [.] streamer_read_uhwi                                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] df_refs_verify                                                                                                                                             
     0.01%  lto1-ltrans  lto1                    [.] ht_lookup_with_hash                                                                                                                                        
     0.01%  lto1-ltrans  lto1                    [.] mark_dfs_back_edges                                                                                                                                        
     0.01%  lto1-ltrans  [kernel.vmlinux]        [k] __alloc_pages_nodemask                                                                                                                                     
     0.01%  lto1-ltrans  lto1                    [.] xmalloc                                                                                                                                                    
     0.01%  lto1-ltrans  lto1                    [.] htab_find_slot_with_hash                                                                                                                                   
     0.01%  lto1-ltrans  lto1                    [.] record_dead_and_set_regs                                                                                                                                   
     0.01%  lto1-ltrans  lto1                    [.] assign_dfs_numbers                                                                                                                                         
     0.01%  lto1-ltrans  lto1                    [.] hash_table<int_cst_hasher, xcallocator, true>::expand                                                                                                      
