# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 2536
#
# Samples: 142K of event 'cycles:ppp'
# Event count (approx.): 130516835553
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
     0.14%  lto1-wpa     lto1                    [.] inflate                                                                                                                                                    
     0.14%  lto1-ltrans  lto1                    [.] bitmap_obstack_alloc_stat                                                                                                                                  
     0.14%  lto1-ltrans  lto1                    [.] streamer_read_uhwi                                                                                                                                         
     0.14%  lto1-ltrans  lto1                    [.] assign_dfs_numbers                                                                                                                                         
     0.13%  lto1-wpa     lto1                    [.] compare_tree_sccs_1                                                                                                                                        
     0.13%  lto1-ltrans  lto1                    [.] ix86_legitimate_address_p                                                                                                                                  
     0.13%  lto1-wpa     lto1                    [.] streamer_read_uhwi                                                                                                                                         
     0.13%  lto1-ltrans  libc-2.23.so            [.] __memset_sse2                                                                                                                                              
     0.13%  lto1-ltrans  lto1                    [.] copyprop_hardreg_forward_1                                                                                                                                 
     0.13%  lto1-ltrans  libc-2.23.so            [.] msort_with_tmp.part.0                                                                                                                                      
     0.13%  lto1-ltrans  lto1                    [.] process_defs                                                                                                                                               
     0.13%  lto1-ltrans  lto1                    [.] stmt_could_throw_p                                                                                                                                         
     0.13%  lto1-ltrans  lto1                    [.] mark_dfs_back_edges                                                                                                                                        
     0.13%  lto1-ltrans  lto1                    [.] rebuild_jump_labels_1                                                                                                                                      
     0.13%  lto1-ltrans  lto1                    [.] expand_expr_real_1                                                                                                                                         
     0.13%  lto1-ltrans  lto1                    [.] df_free_ref                                                                                                                                                
     0.13%  lto1-ltrans  lto1                    [.] mark_insn                                                                                                                                                  
     0.13%  lto1-ltrans  lto1                    [.] calculate_dominance_info                                                                                                                                   
     0.13%  lto1-ltrans  lto1                    [.] delete_reg_equiv                                                                                                                                           
     0.13%  lto1-ltrans  lto1                    [.] ht_lookup_with_hash                                                                                                                                        
     0.13%  lto1-ltrans  lto1                    [.] canon_reg                                                                                                                                                  
     0.12%  lto1-ltrans  lto1                    [.] dom_walker::walk                                                                                                                                           
     0.12%  as           as                      [.] md_assemble                                                                                                                                                
     0.12%  lto1-ltrans  lto1                    [.] hash_table<hash_map<gimple_statement_base*, int, default_hashmap_traits>::hash_entry, xcallocator, true>::find_with_hash                                   
     0.12%  lto1-ltrans  lto1                    [.] df_chain_remove_problem                                                                                                                                    
     0.12%  lto1-ltrans  lto1                    [.] lra                                                                                                                                                        
     0.12%  lto1-wpa     lto1                    [.] streamer_read_tree_bitfields                                                                                                                               
     0.12%  lto1-ltrans  lto1                    [.] prescan_insns_for_dce                                                                                                                                      
     0.12%  lto1-ltrans  lto1                    [.] ssa_propagate                                                                                                                                              
     0.12%  lto1-wpa     lto1                    [.] hash_table<hash_map<int, inline_summary*, function_summary<inline_summary*>::summary_hashmap_traits>::hash_entry, xcallocator, true>::find_slot_with_hash  
